The wages of 10 workers for a six-day week is $ 1200. What are the one day’s wages of 4 workers?,40,32,80,,80
8.1^0 is equal to,8,1,0,,1
All natural numbers and 0 are called the ……………….. numbers. ,whole ,prime ,integer,,whole
"A clock strikes once at 1 o’clock, twice at 2 o’clock, thrice at 3 o’clock and so on. How many times will it strike in 24 hours? ",78,136,156,,156
125 gallons of a mixture contains 20% water. What amount of additional water should be added such that water content is raised to 25%? ,15/2 gallons ,8 1/3 gallons ,19/2 gallons ,,8 1/3 gallons 
Which of the following numbers gives 240 when added to its own square? ,15,20,12,,15
Evaluation of 8^(3) × 8^(2) × 8^(-5) is ,1,0,8,,1
The simplest form of 1.5: 2.5 is ,15:25:00,06:10:00,03:05:00,,03:05:00
"Fill in the blank: 4, 6, 12, 14, 28, 30,___. ",60,32,62,,60
The sum of the ages of 5 children born at intervals of 3 years each is 50 years. What is the age of the youngest child? ,4,8,10,,4
"Find the odd one out 8,27,64,100,125,216,343",27,100,125,,100
"A is two years older than B who is twice old as C. If total ages of A, B, and C be 27, how old is B? ",7,10,25,,10
"If a:b:c=3:4:7, then ratio (a+b+c):c is ",14:03:00,07:02:00,02:01:00,,02:01:00
0.003 x 0.02 = ,0.06,0.0006,6.00E-05,,6.00E-05
"In a class of 40 students, 20% are girls. How many boys are there in the class? ",26,32,28,,32
What is the value of x in 3x - 15 - 6 = 0? ,7,8,9,,7
"What is the average of the numbers: 0, 0, 4, 10, 5, and 5? ",6,4,3,,4
"What is the rate of discount if a bicycle which cost Rs.4,000 is sold for Rs.3,200? ",80.00%,20.00%,14.00%,,20.00%
"It's dark. You have ten grey socks and ten blue socks you want to
put into pairs. All socks are exactly the same except for their
color. How many socks would you need to take with you to ensure
you had at least a pair?",3,16,8,,3
"The annual income of A is 10% more than of B whereas the income of B is 20% more than that of C. If the monthly income of C is $ 2000 then what is the sum of monthly incomes of A, B, and C? ","$ 6,872 ","$ 7,046 ","$ 7,040 ",,"$ 7,040 "
"If 9999 = 4, 8888 = 8, 1816 = 6, 1212 = 0, then 1919 =? ",5,2,10,,2
"Six bells commence tolling together and the toll at intervals of 2,4,6,8,10 and 12 seconds respectively. In 30 minutes, how many times do they toll together? ",4,15,16,,16
"A hall is 15 m long and 12 m broad. If the sum of the areas of the floor and the ceiling is equal to the sum of the areas of four walls, the volume of the hall is? ",1200,720,1800,,1200
A man buys a cycle for Rs.1440 and sells it a loss of 15%. What is the selling price of the cycle? ,1090,1160,1224,,1224
What is the sum of one digit prime numbers? ,11,17,15,,17
Mary scored 200 marks in three tests. If the average score of 60 is required then the lowest marks she must score for the fourth test is ,40,50,60,,40
"Three-fourth of the number of girls in a school is equal to half of the number of boys. If the school has 1420 pupils, how many of them are boys ",852,720,568,,852
What percentage should be added to 40 to make it 50? ,15,25,75,,25
Consider ?ABD such that angle ADB = 20° and C is a point on BD such that AB=AC and CD=CA. Then the measure of angle ABC is ,45,60,40,,40
"Today is Monday. After 61 days, it will be: ",Wednesday ,Saturday ,Thursday ,,Saturday 
"If the selling price is doubled, the profit triples. Find the profit percent. ",66.72%,100.00%,105.90%,,100.00%
The angle of elevation of a ladder leaning against a wall is 60? and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is: ,2.3m ,4.6m ,9.2m ,,9.2m 
"A, B and C can complete a piece of work in 14, 6 and 12 days respectively. Working together, they will complete the work in ",19/9 days ,27 days ,28/9 days ,,28/9 days 
"A shopkeeper purchases 15 mangoes for Rs. 10 and sells them at 10 mangoes for Rs. 15. Thus, he earns a profit of ",125,75,50,,125
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train? ,120m ,150m ,324m ,,150m 
"Complete the following sequence. 2, 3, 5, 9, _____, 33 ",17,21,24,,17
